id	ja	zh-TW	en	ko
1	テスト	測試	Test	테스트
900011	はい　これどうぞ！	來，請吃這個！	Here you go!	자, 이거 받으세요!
900014	また明日も　待ってるよ！	今天可以拿到這個耶。	We got this today.	오늘은 이걸 받을 수 있대
900021	これがもらえるのか	可以拿到這個啊。	We get this one today?	이걸 받나 본데
900024	明日はこれな	明天是這個喔。	Tomorrow is that one.	내일은 이거고
900031	おっ　今日はこれが貰えるのか	哦，今天可以拿到這個啊。	Oh, do I get this today?	오옷, 오늘은 이걸 받을 수 있네
900034	明日も楽しみだな～	好期待明天耶～～	Can't wait for tomorrow!	내일도 기대되는구만~
900041	これ　あげるわ	這個給妳。	Here, I'll give this to you.	이거 받아라
900044	明日も楽しみにしててな	明天也要期待一下喔。	I can't wait for tomorrow.	내일도 기대하래이~
900051	今日はこれがもらえるんだあ	今天可以拿到這個呢。	This is what I get today it seems.	오늘은 이걸 받을 수 있어~
900054	明日は何かな？　楽しみー	明天會是什麼啊？好期待喔──	What's next for tomorrow? So exciting!	내일은 뭘까? 기대돼~
10191002	スイカ割りやりたいな	我想要玩打西瓜。	I wanna split a watermelon...	수박 깨기 하고 싶어
10192002	海から昇る朝日　最高の眺めだ	從海面升起的太陽，真是最棒的景色呢。	Love watching the sun rise from the sea.	바다에 뜨는 아침해…
10193002	シーグラスたくさん見つけたな	找到不少海玻璃了呢。	Found a lot of sea glass!	씨글래스
10194002	トロピカルジュース涼しげや	熱帶果汁喝起來好涼爽喔。	A tropical punch to cool me down!	트로피컬 주스
10195002	ビーチバレーやろうよ	來打沙灘排球吧。	C'mon, let's play beach volleyball!	비치발리볼 하자~
